"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация на SauceDemo с проверкой успешного входа","830","loginToSauceDemo","Sauce demo SmokeTest","Tue Jan 21 17:43:19 GMT 2025","passed","Tue Jan 21 17:43:20 GMT 2025","SauceDemoTests.SauceDemoTest","Thread#1","SauceDemoTests.SauceDemoTest","loginToSauceDemo"
"удаление и добавление элемента","612","checkAddRemoveElement","Sauce demo SmokeTest","Tue Jan 21 17:43:19 GMT 2025","passed","Tue Jan 21 17:43:20 GMT 2025","HerokuAppTests.СheckAddRemoveElementTest","Thread#2","HerokuAppTests.СheckAddRemoveElementTest","checkAddRemoveElement"
