"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"удаление и добавление элемента","762","checkAddRemoveElement","Sauce demo SmokeTest","Mon Dec 16 13:21:55 GMT 2024","passed","Mon Dec 16 13:21:55 GMT 2024","HerokuAppTests.СheckAddRemoveElementTest","Thread#2","HerokuAppTests.СheckAddRemoveElementTest","checkAddRemoveElement"
"Авторизация на SauceDemo с проверкой успешного входа","1127","loginToSauceDemo","Sauce demo SmokeTest","Mon Dec 16 13:21:55 GMT 2024","passed","Mon Dec 16 13:21:56 GMT 2024","SauceDemoTests.SauceDemoTest","Thread#1","SauceDemoTests.SauceDemoTest","loginToSauceDemo"
